Issue Type,Summary,Project,Priority,Labels,Parent,Description
Task,Generate inventory usage and waste report CSV,X1,High,backend analytics reports,X1-188,Generate inventory usage and waste report CSV. Transform operational data into actionable insights and scheduled outputs for stakeholders. Add telemetry and tests.
Task,Correlate sales with weather snapshot charts,X1,Medium,backend analytics reports,X1-188,Correlate sales with weather snapshot charts. Transform operational data into actionable insights and scheduled outputs for stakeholders. Add telemetry and tests.
Task,Add cohort analysis by customer first-order week,X1,Medium,backend analytics reports,X1-188,Add cohort analysis by customer first-order week. Transform operational data into actionable insights and scheduled outputs for stakeholders. Add telemetry and tests.
Task,Build real-time KPIs widget service,X1,Medium,backend analytics reports,X1-188,Build real-time KPIs widget service. Transform operational data into actionable insights and scheduled outputs for stakeholders. Add telemetry and tests.
Task,Add export-to-S3 and signed URL retrieval,X1,Medium,backend analytics reports,X1-188,Add export-to-S3 and signed URL retrieval. Transform operational data into actionable insights and scheduled outputs for stakeholders. Add telemetry and tests.
Task,Write Dockerfiles and docker-compose for local stack,X1,Medium,devops security ci,X1-189,Write Dockerfiles and docker-compose for local stack. Automate build and deploy pipelines while enforcing security controls and secrets management. Add telemetry and tests.
Task,"Create CI pipeline: lint, test, build, migrate, deploy",X1,Highest,devops security ci,X1-189,"Create CI pipeline: lint, test, build, migrate, deploy. Automate build and deploy pipelines while enforcing security controls and secrets management. Add telemetry and tests."
Task,Configure secrets management and parameter store,X1,Medium,devops security ci,X1-189,Configure secrets management and parameter store. Automate build and deploy pipelines while enforcing security controls and secrets management. Add telemetry and tests.
Task,"Add WAF rules, rate limits, and CORS policy",X1,High,devops security ci,X1-189,"Add WAF rules, rate limits, and CORS policy. Automate build and deploy pipelines while enforcing security controls and secrets management. Add telemetry and tests."
Task,Run WCAG 2.1 AA audit and log issues as tickets,X1,Medium,a11y ux testing,X1-190,Run WCAG 2.1 AA audit and log issues as tickets. Validate accessibility against WCAG and translate findings into corrective actions. Add telemetry and tests.
Task,Conduct screen-reader and keyboard-only tests with fixes queued,X1,Medium,a11y ux testing,X1-190,Conduct screen-reader and keyboard-only tests with fixes queued. Validate accessibility against WCAG and translate findings into corrective actions. Add telemetry and tests.
