Issue Type,Summary,Project,Priority,Labels,Epic Name,Epic Link,Description
Task,Build POS dashboard with order queue and shortcuts,X1,Highest,frontend pos react,,EPIC-POS,"Build POS dashboard with order queue and shortcuts. Enable rapid cashier workflows with keyboard shortcuts, clear feedback, and robust error handling. Document API contracts, add telemetry, and include acceptance tests."
Task,Implement fast search with keyboard hotkeys,X1,Medium,frontend pos react,,EPIC-POS,"Implement fast search with keyboard hotkeys. Enable rapid cashier workflows with keyboard shortcuts, clear feedback, and robust error handling. Document API contracts, add telemetry, and include acceptance tests."
Task,Build quick modifiers panel for sugar/ice/toppings,X1,Medium,frontend pos react,,EPIC-POS,"Build quick modifiers panel for sugar/ice/toppings. Enable rapid cashier workflows with keyboard shortcuts, clear feedback, and robust error handling. Document API contracts, add telemetry, and include acceptance tests."
Task,Add customer attach with phone lookup,X1,Medium,frontend pos react,,EPIC-POS,"Add customer attach with phone lookup. Enable rapid cashier workflows with keyboard shortcuts, clear feedback, and robust error handling. Document API contracts, add telemetry, and include acceptance tests."
Task,Implement split payments and change calculator,X1,High,frontend pos react,,EPIC-POS,"Implement split payments and change calculator. Enable rapid cashier workflows with keyboard shortcuts, clear feedback, and robust error handling. Document API contracts, add telemetry, and include acceptance tests."
Task,Add “park order” and “resume order” flows,X1,Medium,frontend pos react,,EPIC-POS,"Add “park order” and “resume order” flows. Enable rapid cashier workflows with keyboard shortcuts, clear feedback, and robust error handling. Document API contracts, add telemetry, and include acceptance tests."
Task,Add barcode or PLU entry support,X1,Medium,frontend pos react,,EPIC-POS,"Add barcode or PLU entry support. Enable rapid cashier workflows with keyboard shortcuts, clear feedback, and robust error handling. Document API contracts, add telemetry, and include acceptance tests."
Task,Show low-stock banners and 86 badges inline,X1,Medium,frontend pos react,,EPIC-POS,"Show low-stock banners and 86 badges inline. Enable rapid cashier workflows with keyboard shortcuts, clear feedback, and robust error handling. Document API contracts, add telemetry, and include acceptance tests."
Task,Print or send receipt from POS completion view,X1,Medium,frontend pos react,,EPIC-POS,"Print or send receipt from POS completion view. Enable rapid cashier workflows with keyboard shortcuts, clear feedback, and robust error handling. Document API contracts, add telemetry, and include acceptance tests."
Task,Add error toasts and recovery for network failures,X1,Medium,frontend pos react,,EPIC-POS,"Add error toasts and recovery for network failures. Enable rapid cashier workflows with keyboard shortcuts, clear feedback, and robust error handling. Document API contracts, add telemetry, and include acceptance tests."
Task,Build daily open/close cash drawer checklist UI,X1,Medium,frontend pos react,,EPIC-POS,"Build daily open/close cash drawer checklist UI. Enable rapid cashier workflows with keyboard shortcuts, clear feedback, and robust error handling. Document API contracts, add telemetry, and include acceptance tests."
Task,Add role-aware route guards for POS paths,X1,Medium,frontend pos react,,EPIC-POS,"Add role-aware route guards for POS paths. Enable rapid cashier workflows with keyboard shortcuts, clear feedback, and robust error handling. Document API contracts, add telemetry, and include acceptance tests."
Task,Build menu management CRUD with image upload,X1,Medium,frontend manager react,,EPIC-MANAGER,"Build menu management CRUD with image upload. Provide managers with safe administrative tools and high-signal dashboards for decisions. Document API contracts, add telemetry, and include acceptance tests."
Task,Build inventory dashboard with low-stock tiles,X1,High,frontend manager react,,EPIC-MANAGER,"Build inventory dashboard with low-stock tiles. Provide managers with safe administrative tools and high-signal dashboards for decisions. Document API contracts, add telemetry, and include acceptance tests."
Task,Build price A/B test configuration wizard,X1,Medium,frontend manager react,,EPIC-MANAGER,"Build price A/B test configuration wizard. Provide managers with safe administrative tools and high-signal dashboards for decisions. Document API contracts, add telemetry, and include acceptance tests."
Task,Build staff management with role assignment,X1,Medium,frontend manager react,,EPIC-MANAGER,"Build staff management with role assignment. Provide managers with safe administrative tools and high-signal dashboards for decisions. Document API contracts, add telemetry, and include acceptance tests."
Task,Build sales dashboard with filters and exports,X1,Medium,frontend manager react,,EPIC-MANAGER,"Build sales dashboard with filters and exports. Provide managers with safe administrative tools and high-signal dashboards for decisions. Document API contracts, add telemetry, and include acceptance tests."
Task,Build audit log explorer with advanced filters,X1,Medium,frontend manager react,,EPIC-MANAGER,"Build audit log explorer with advanced filters. Provide managers with safe administrative tools and high-signal dashboards for decisions. Document API contracts, add telemetry, and include acceptance tests."
Task,"Build settings for taxes, store hours, channels",X1,Medium,frontend manager react,,EPIC-MANAGER,"Build settings for taxes, store hours, channels. Provide managers with safe administrative tools and high-signal dashboards for decisions. Document API contracts, add telemetry, and include acceptance tests."
Task,Build feature-flag toggle panel,X1,Medium,frontend manager react,,EPIC-MANAGER,"Build feature-flag toggle panel. Provide managers with safe administrative tools and high-signal dashboards for decisions. Document API contracts, add telemetry, and include acceptance tests."
Task,Build reorder suggestions view from usage data,X1,Medium,frontend manager react,,EPIC-MANAGER,"Build reorder suggestions view from usage data. Provide managers with safe administrative tools and high-signal dashboards for decisions. Document API contracts, add telemetry, and include acceptance tests."
Task,Build allergen matrix editor and review mode,X1,Medium,frontend manager react,,EPIC-MANAGER,"Build allergen matrix editor and review mode. Provide managers with safe administrative tools and high-signal dashboards for decisions. Document API contracts, add telemetry, and include acceptance tests."
Task,Build translation glossary editor for menu text,X1,Low,frontend manager react,,EPIC-MANAGER,"Build translation glossary editor for menu text. Provide managers with safe administrative tools and high-signal dashboards for decisions. Document API contracts, add telemetry, and include acceptance tests."
Task,Add scheduled report subscriptions UI,X1,Medium,frontend manager react,,EPIC-MANAGER,"Add scheduled report subscriptions UI. Provide managers with safe administrative tools and high-signal dashboards for decisions. Document API contracts, add telemetry, and include acceptance tests."
Task,Build menu board layout with rotating categories,X1,Medium,frontend menuboard react,,EPIC-MENUBOARD,"Build menu board layout with rotating categories. Render passive, reliable displays of items, prices, and availability with minimal latency. Document API contracts, add telemetry, and include acceptance tests."
Task,Add live 86 state sync and price updates,X1,Medium,frontend menuboard react,,EPIC-MENUBOARD,"Add live 86 state sync and price updates. Render passive, reliable displays of items, prices, and availability with minimal latency. Document API contracts, add telemetry, and include acceptance tests."
Task,Add promotion banner playlist and timing,X1,Low,frontend menuboard react,,EPIC-MENUBOARD,"Add promotion banner playlist and timing. Render passive, reliable displays of items, prices, and availability with minimal latency. Document API contracts, add telemetry, and include acceptance tests."
Task,"Add clock, store status, and next pickup ETA strip",X1,Low,frontend menuboard react,,EPIC-MENUBOARD,"Add clock, store status, and next pickup ETA strip. Render passive, reliable displays of items, prices, and availability with minimal latency. Document API contracts, add telemetry, and include acceptance tests."
Task,Implement remote theme and color presets,X1,Low,frontend menuboard react,,EPIC-MENUBOARD,"Implement remote theme and color presets. Render passive, reliable displays of items, prices, and availability with minimal latency. Document API contracts, add telemetry, and include acceptance tests."
Task,Add heartbeat and remote reload endpoint,X1,Low,frontend menuboard react,,EPIC-MENUBOARD,"Add heartbeat and remote reload endpoint. Render passive, reliable displays of items, prices, and availability with minimal latency. Document API contracts, add telemetry, and include acceptance tests."
Task,Compute hourly sales heatmap endpoint,X1,Medium,backend analytics reports,,EPIC-ANALYTICS,"Compute hourly sales heatmap endpoint. Transform operational data into actionable insights and scheduled outputs for stakeholders. Document API contracts, add telemetry, and include acceptance tests."
Task,Compute top items and attach A/B variant impact,X1,Medium,backend analytics reports,,EPIC-ANALYTICS,"Compute top items and attach A/B variant impact. Transform operational data into actionable insights and scheduled outputs for stakeholders. Document API contracts, add telemetry, and include acceptance tests."
Task,"Generate daily PDF with revenue, traffic, voids",X1,Medium,backend analytics reports,,EPIC-ANALYTICS,"Generate daily PDF with revenue, traffic, voids. Transform operational data into actionable insights and scheduled outputs for stakeholders. Document API contracts, add telemetry, and include acceptance tests."
Task,Generate inventory usage and waste report CSV,X1,High,backend analytics reports,,EPIC-ANALYTICS,"Generate inventory usage and waste report CSV. Transform operational data into actionable insights and scheduled outputs for stakeholders. Document API contracts, add telemetry, and include acceptance tests."
Task,Correlate sales with weather snapshot charts,X1,Medium,backend analytics reports,,EPIC-ANALYTICS,"Correlate sales with weather snapshot charts. Transform operational data into actionable insights and scheduled outputs for stakeholders. Document API contracts, add telemetry, and include acceptance tests."
Task,Add cohort analysis by customer first-order week,X1,Medium,backend analytics reports,,EPIC-ANALYTICS,"Add cohort analysis by customer first-order week. Transform operational data into actionable insights and scheduled outputs for stakeholders. Document API contracts, add telemetry, and include acceptance tests."
Task,Build real-time KPIs widget service,X1,Medium,backend analytics reports,,EPIC-ANALYTICS,"Build real-time KPIs widget service. Transform operational data into actionable insights and scheduled outputs for stakeholders. Document API contracts, add telemetry, and include acceptance tests."
Task,Add export-to-S3 and signed URL retrieval,X1,Medium,backend analytics reports,,EPIC-ANALYTICS,"Add export-to-S3 and signed URL retrieval. Transform operational data into actionable insights and scheduled outputs for stakeholders. Document API contracts, add telemetry, and include acceptance tests."
Task,Write Dockerfiles and docker-compose for local stack,X1,Medium,devops security ci,,EPIC-OPS,"Write Dockerfiles and docker-compose for local stack. Automate build and deploy pipelines while enforcing security controls and secrets management. Document API contracts, add telemetry, and include acceptance tests."
Task,"Create CI pipeline: lint, test, build, migrate, deploy",X1,Highest,devops security ci,,EPIC-OPS,"Create CI pipeline: lint, test, build, migrate, deploy. Automate build and deploy pipelines while enforcing security controls and secrets management. Document API contracts, add telemetry, and include acceptance tests."
Task,Configure secrets management and parameter store,X1,Medium,devops security ci,,EPIC-OPS,"Configure secrets management and parameter store. Automate build and deploy pipelines while enforcing security controls and secrets management. Document API contracts, add telemetry, and include acceptance tests."
Task,"Add WAF rules, rate limits, and CORS policy",X1,High,devops security ci,,EPIC-OPS,"Add WAF rules, rate limits, and CORS policy. Automate build and deploy pipelines while enforcing security controls and secrets management. Document API contracts, add telemetry, and include acceptance tests."
Task,Run WCAG 2.1 AA audit and log issues as tickets,X1,Medium,a11y ux testing,,EPIC-ACCESS,"Run WCAG 2.1 AA audit and log issues as tickets. Validate accessibility against WCAG and translate findings into corrective actions. Document API contracts, add telemetry, and include acceptance tests."
Task,Conduct screen-reader and keyboard-only tests with fixes queued,X1,Medium,a11y ux testing,,EPIC-ACCESS,"Conduct screen-reader and keyboard-only tests with fixes queued. Validate accessibility against WCAG and translate findings into corrective actions. Document API contracts, add telemetry, and include acceptance tests."
